begin,open,close,high,low,value,volume
2025-02-17 12:00:00,313.05,315.29,315.8,312.7,2816572729.8,8949970
2025-02-17 13:00:00,315.26,316.08,317.0,315.0,2706457455.6000004,8562810
2025-02-17 14:00:00,316.18,315.43,316.23,315.0,1056994780.5999999,3349880
2025-02-17 15:00:00,315.43,317.43,317.5,315.34,1938321442.4999998,6120490
2025-02-17 16:00:00,317.43,317.4,317.97,316.37,1639867960.4000008,5169510
2025-02-17 17:00:00,317.39,318.23,318.38,317.0,2035330840.3,6403870
2025-02-17 18:00:00,318.29,318.5,318.86,317.7,2070256773.3999999,6503610
2025-02-17 19:00:00,318.7,316.96,318.7,316.8,1237318531.4999998,3894180
2025-02-17 20:00:00,316.95,317.72,317.88,316.66,801361872.0000002,2526260
2025-02-17 21:00:00,317.72,318.29,318.6,317.7,627034415.5999999,1971320
2025-02-17 22:00:00,318.29,318.98,319.55,318.26,1370258864.4999995,4294510
2025-02-17 23:00:00,318.99,319.5,319.55,318.97,757934448.9000003,2373580
2025-02-18 06:00:00,319.99,319.99,319.99,319.99,46708940.299999975,145970
2025-02-18 07:00:00,319.9,317.58,320.92,317.25,1543974190.7,4838730
2025-02-18 08:00:00,317.58,317.64,318.02,316.5,932135887.2999997,2938460
2025-02-18 09:00:00,317.69,317.26,318.85,316.88,996051636.3000001,3133610
2025-02-18 10:00:00,317.22,317.24,317.49,315.05,2744089209.299999,8677350
2025-02-18 11:00:00,317.24,314.15,317.25,314.01,2381120323.800001,7554500
2025-02-18 12:00:00,314.14,316.39,317.32,313.54,2090723783.100001,6630500
2025-02-18 13:00:00,316.37,317.09,317.6,316.25,1181511752.9,3726440
2025-02-18 14:00:00,317.09,318.14,319.43,316.53,2521115150.5000005,7924830
2025-02-18 15:00:00,318.14,314.7,319.27,312.35,5652913403.399999,17963040
2025-02-18 16:00:00,314.7,315.0,316.93,313.81,2044647540.5000002,6485720
2025-02-18 17:00:00,314.92,313.66,315.5,313.31,844279538.4,2685670
2025-02-18 18:00:00,313.6,313.03,313.99,313.0,869200727.1999996,2774380
2025-02-18 19:00:00,313.1,314.19,314.89,313.03,587698954.6,1871930
2025-02-18 20:00:00,314.19,313.15,314.29,313.1,207039003.00000006,659920
2025-02-18 21:00:00,313.15,311.79,313.55,310.21,1454502827.0,4665630
2025-02-18 22:00:00,311.79,311.9,312.25,310.87,472416636.29999995,1515450
2025-02-18 23:00:00,311.89,312.95,312.95,311.89,253019573.3,809640
2025-02-19 06:00:00,313.53,313.53,313.53,313.53,3464506.499999999,11050
2025-02-19 07:00:00,313.53,313.79,314.35,312.36,638201060.7000003,2035060
2025-02-19 08:00:00,313.79,312.81,313.9,312.74,216761194.3,691790
2025-02-19 09:00:00,312.81,314.57,314.82,312.21,1169894877.8999996,3732160
2025-02-19 10:00:00,314.57,312.11,314.84,311.95,1341934932.8999999,4283590
2025-02-19 11:00:00,312.09,311.99,312.72,311.01,1533465717.5000005,4920040
2025-02-19 12:00:00,312.0,312.25,313.0,311.49,735006382.7999998,2352850
2025-02-19 13:00:00,312.25,313.16,314.54,311.87,1632948407.4000008,5210290
2025-02-19 14:00:00,313.34,313.36,314.25,313.2,451021935.0999999,1437840
2025-02-19 15:00:00,313.44,313.61,314.14,312.51,924005901.3000003,2947350
2025-02-19 16:00:00,313.6,314.14,314.35,313.31,653933297.3999999,2081990
2025-02-19 17:00:00,314.12,316.23,316.6,313.4,1931685525.4000003,6125100
2025-02-19 18:00:00,316.22,315.0,316.42,314.91,661067149.5,2094670
2025-02-19 19:00:00,316.0,316.75,316.9,315.03,1573282098.5,4973730
2025-02-19 20:00:00,316.74,316.5,316.86,315.66,793568138.8999999,2508080
2025-02-19 21:00:00,316.49,317.06,317.25,316.31,801282308.0,2527900
2025-02-19 22:00:00,317.05,316.39,317.25,315.9,518680844.8999999,1637910
2025-02-19 23:00:00,316.38,315.91,316.5,315.6,288497715.0,912940
2025-02-20 06:00:00,315.91,315.91,315.91,315.91,3715101.600000001,11760
2025-02-20 07:00:00,315.91,315.86,316.75,315.11,219444122.50000003,694930
2025-02-20 08:00:00,315.85,316.08,316.2,315.69,100491734.1,318120
2025-02-20 09:00:00,316.15,315.95,316.94,315.51,381843581.8999999,1207810
2025-02-20 10:00:00,315.95,315.41,316.49,315.1,1006035597.3999995,3185290
2025-02-20 11:00:00,315.41,314.54,315.65,314.02,914761332.6000004,2906170
2025-02-20 12:00:00,314.54,316.58,316.58,314.04,960287434.2999998,3045390
2025-02-20 13:00:00,316.58,316.18,316.86,316.06,641369208.0,2026260
2025-02-20 14:00:00,316.16,316.27,316.63,315.4,533245679.8,1687530
2025-02-20 15:00:00,316.27,316.25,316.99,315.85,955257995.3000001,3017030
2025-02-20 16:00:00,316.25,317.39,317.96,315.84,1381825996.0000007,4358430
2025-02-20 17:00:00,317.4,317.05,317.71,316.13,889567708.4000005,2807720
2025-02-20 18:00:00,317.04,315.31,317.2,314.61,1053419356.4999999,3338600
2025-02-20 19:00:00,315.43,315.22,315.93,314.9,359250824.3,1138970
2025-02-20 20:00:00,315.26,315.24,315.28,314.41,410846711.3999999,1304950
2025-02-20 21:00:00,315.26,315.17,315.27,314.5,337487481.39999986,1072220
2025-02-20 22:00:00,315.17,315.07,315.25,314.76,206606708.3,655760
2025-02-20 23:00:00,315.07,315.05,315.26,314.91,122239416.79999998,387960
2025-02-21 06:00:00,315.48,315.48,315.48,315.48,435362.39999999985,1380
2025-02-21 07:00:00,315.48,314.85,315.92,314.61,126794064.09999998,402190
2025-02-21 08:00:00,314.85,315.46,315.5,314.85,67376063.20000002,213660
2025-02-21 09:00:00,315.47,315.84,315.91,315.02,278429832.59999996,882580
2025-02-21 10:00:00,315.85,316.33,316.44,314.9,864966428.3999995,2740150
2025-02-21 11:00:00,316.33,315.92,316.69,315.51,573093997.3,1813180
2025-02-21 12:00:00,315.92,315.36,316.46,315.2,694183218.4999999,2197250
2025-02-21 13:00:00,315.37,312.44,315.51,312.0,2477041872.800001,7901100
2025-02-21 14:00:00,312.44,313.68,313.9,312.01,1427190785.2000003,4560640
2025-02-21 15:00:00,313.7,313.91,314.2,313.03,599772026.9000001,1912970
2025-02-21 16:00:00,313.81,313.44,314.37,312.75,630597391.3999999,2009550
2025-02-21 17:00:00,313.5,313.97,314.55,313.44,626271428.6999998,1992160
2025-02-21 18:00:00,313.91,314.12,314.55,313.8,340069252.8999999,1082420
2025-02-21 19:00:00,314.12,314.45,314.88,314.03,265161020.4999999,843080
