TRADEDATE,BOARDID,CLOSE,VOLUME,VALUE
2016-05-23,TQBR,82.6,2994000,246359808.0
2016-05-24,TQBR,83.43,4474400,372842328.0
2016-05-25,TQBR,84.9,11923500,1013791016.0
2016-05-26,TQBR,87.4,17743100,1535024820.0
2016-05-27,TQBR,88.56,16260800,1437923412.0
2016-05-30,TQBR,89.83,8836700,783951091.0
2016-05-31,TQBR,91.5,34638400,3182731413.0
2016-06-01,TQBR,90.86,14172300,1296339612.0
2016-06-02,TQBR,91.25,8325200,752527285.0
2016-06-03,TQBR,90.24,7683600,698403516.0
2016-06-06,TQBR,92.14,9209600,846769418.0
2016-06-07,TQBR,97.21,20885000,1994212832.0
2016-06-08,TQBR,97.44,13106700,1276228661.0
2016-06-09,TQBR,97.78,7553900,733578365.0
2016-06-10,TQBR,93.75,9968400,943020450.0
2016-06-14,TQBR,88.75,21978700,1965281012.0
2016-06-15,TQBR,90.44,10989100,986089458.0
2016-06-16,TQBR,88.0,10731800,943995052.0
2016-06-17,TQBR,89.54,5805000,520630902.0
2016-06-20,TQBR,90.95,7525600,689729213.0
2016-06-21,TQBR,90.51,6783200,611567116.0
2016-06-22,TQBR,91.85,5006300,458591521.0
2016-06-23,TQBR,95.61,12693900,1197070630.0
2016-06-24,TQBR,91.01,16594500,1512424101.0
2016-06-27,TQBR,87.0,16976600,1500775194.0
2016-06-28,TQBR,88.46,9949600,874046050.0
2016-06-29,TQBR,90.35,7200500,647716633.0
2016-06-30,TQBR,90.0,8333300,746674733.0
2016-07-01,TQBR,90.8,7214800,650312464.0
2016-07-04,TQBR,90.73,9215900,836872877.0
2016-07-05,TQBR,89.0,5223400,467249309.0
2016-07-06,TQBR,88.26,7378500,648458925.0
2016-07-07,TQBR,90.16,6841800,615037342.0
2016-07-08,TQBR,91.51,9501100,861000334.0
2016-07-11,TQBR,92.7,8229700,768219525.0
2016-07-12,TQBR,94.81,5922300,558050287.0
2016-07-13,TQBR,96.44,18889100,1800301946.0
2016-07-14,TQBR,96.99,6072800,586439635.0
2016-07-15,TQBR,96.0,9452100,906780756.0
2016-07-18,TQBR,96.5,4537300,436576031.0
2016-07-19,TQBR,96.51,6809000,661737857.0
2016-07-20,TQBR,97.37,7524600,725733262.0
2016-07-21,TQBR,97.1,3406200,329530810.0
2016-07-22,TQBR,96.4,2187400,211325395.0
2016-07-25,TQBR,95.2,6378000,608244866.0
2016-07-26,TQBR,95.1,5953400,562080160.0
2016-07-27,TQBR,94.99,5961200,567349624.0
2016-07-28,TQBR,95.9,8251000,787455482.0
2016-07-29,TQBR,98.8,13602700,1323056509.0
2016-08-01,TQBR,98.41,8826800,874811105.0
2016-08-02,TQBR,96.58,8004500,778409552.0
2016-08-03,TQBR,97.0,7034000,678842103.0
2016-08-04,TQBR,97.23,3901700,379719676.0
2016-08-05,TQBR,97.51,6032300,588630448.0
2016-08-08,TQBR,98.45,7561200,741963065.0
2016-08-09,TQBR,99.0,5250900,518893539.0
2016-08-10,TQBR,98.0,3202500,316215703.0
2016-08-11,TQBR,99.39,5477700,540583733.0
2016-08-12,TQBR,98.8,4637600,461425160.0
2016-08-15,TQBR,99.13,3113900,308806543.0
2016-08-16,TQBR,99.31,4918000,487430373.0
2016-08-17,TQBR,98.95,4040200,397745827.0
2016-08-18,TQBR,98.85,4296200,423794775.0
