begin,open,close,high,low,value,volume
2024-05-15 13:00:00,319.70 ,319.40 ,319.89 ,319.40 ,"784,093,586 ","2,452,880 "
2024-05-15 14:00:00,319.41 ,319.33 ,319.44 ,319.00 ,"728,773,554 ","2,282,930 "
2024-05-15 15:00:00,319.34 ,318.93 ,319.38 ,318.90 ,"407,798,329 ","1,278,030 "
2024-05-15 16:00:00,318.92 ,319.70 ,319.85 ,318.90 ,"547,942,184 ","1,716,230 "
2024-05-15 17:00:00,319.71 ,319.94 ,319.95 ,319.70 ,"466,607,078 ","1,458,910 "
2024-05-15 18:00:00,319.95 ,320.00 ,320.00 ,319.75 ,"535,428,459 ","1,673,490 "
2024-05-15 19:00:00,319.51 ,319.54 ,319.85 ,319.35 ,"270,913,926 ","847,730 "
2024-05-15 20:00:00,319.54 ,319.54 ,319.78 ,319.50 ,"123,827,729 ","387,400 "
2024-05-15 21:00:00,319.54 ,319.71 ,319.75 ,319.52 ,"92,865,564 ","290,490 "
2024-05-15 22:00:00,319.70 ,319.64 ,319.75 ,319.52 ,"130,784,055 ","409,160 "
2024-05-15 23:00:00,319.64 ,319.70 ,319.75 ,319.58 ,"92,190,115 ","288,380 "
2024-05-16 09:00:00,320.00 ,320.00 ,320.00 ,320.00 ,"18,272,000 ","57,100 "
2024-05-16 10:00:00,320.01 ,320.69 ,321.00 ,320.00 ,"1,401,326,998 ","4,370,420 "
2024-05-16 11:00:00,320.69 ,320.64 ,320.90 ,320.59 ,"588,563,091 ","1,834,820 "
2024-05-16 12:00:00,320.66 ,320.52 ,320.66 ,320.50 ,"804,852,750 ","2,511,070 "
2024-05-16 13:00:00,320.51 ,320.60 ,320.60 ,320.50 ,"348,780,473 ","1,088,180 "
2024-05-16 14:00:00,320.52 ,320.94 ,320.94 ,320.50 ,"378,546,317 ","1,180,330 "
2024-05-16 15:00:00,320.91 ,321.75 ,321.90 ,320.90 ,"1,203,010,956 ","3,744,390 "
